direct_object,unique_verbs
that yellow cone,['go']
that yellow object,['move']
that's,['is']
that's fine,['hold']
that's good,['report']
that's recent,['saw' 'know']
that's the end of the test,['is']
that's what,['have']
the,[nan 'move' 'let go' 'go' 'see' 'keep']
them,"['was' 'use' 'make' 'come up with' 'help' 'point out' 'count' 'look'
 'recognize' 'tell' 'move' 'seemed' 'could' 'put']"
there,"['were' 'review' 'was' 'move' 'think' 'is' 'stop' 'check' 'see' 'go'
 ""there's""]"
there's any type of container in which a soldier might be able to move things,['think' 'move']
there's anything that indicates that the environment has been recently occupied,['think' 'indicates']
they,['were' 'believe' 'saw' 'stand']
thin,['see']
the thing,['could use' 'coordinate']
thing,['do' 'like']
things,"['were' 'used' 'move' 'be able to' 'use' 'coordinate' 'mounted' 'think'
 'do' 'be' 'reach' 'found' 'can be used' 'are' 'positioned' 'looking'
 'assume' 'leave' 'seemed' 'could' 'put' 'seen' 'might be able to use'
 'remember']"
thinking,['was']
thirteen,['counted' 'think']
thirteen degrees,['turn']
thirteen doorways,['found' 'saw']
thirty,[nan 'turn']
a thirty degree angle,['turn' 'do']
thirty degree angles,['move']
a thirty degree angles,['turn']
thirty degree intervals,['take' 'rotating']
thirty degrees,"['turn' 'move' 'go' 'uhh' 'rotate' 'is' 'pivot' 'face' 'can' 'see'
 'please' nan]"
thirty degrees more,['turn']
thirty degrees north,['turn']
thirty degrees south,['turn']
thirty degrees to the left,['rotate']
thirty feet,['proceed' 'go' 'move']
thirty feet northeast,['move']
thirty five degrees,['turn']
thirty five degrees north,['turn']
thirty grees,['turn']
thirty inches,['go' nan]
thirty one degrees,['turn']
thirty seven degrees,['move']
thirtyish degrees,['turn']
this,"['know' 'think' 'can' 'end' 'have' 'do' 'call' 'guess' 'go' 'sent' 'let'
 'keep' ""let's""]"
this alleyway,['leave']
this building,['get']
this chair,['completed' 'set up' 'move']
this direction,['go']
this doorway,['is']
this hallway,['go' 'continue' 'move']
this image,['go' 'took']
this obstacle,['move']
this orange cone,['go']
this photograph,"[""there's"" 'see']"
this picture,['is' 'go' 'took' 'saw' 'see']
this room,"['exit' 'go' 'leave' 'move' 'proceed' 'remember' 'seeing' 'turn' 'drive'
 'saw' 'run']"
this scenario,['completed' 'set up' 'move' 'can']
this wall,['avoid']
those,"['have' 'consider' 'are' 'saw' ""we're""]"
those barrels,['move']
those doors,['are']
those helmets,['travel']
those maps,['go' 'hit']
those metal things,['take']
those shoes,['go' 'reach']
those signs,['do' 'see' 'go' 'are']
those tasks,['say' 'try' 'do' 'exploring']
those two silver plaques,['has']
those two wooden pallets,['um']
three,"['say' nan 'were' 'test' 'saw' 'have' 'consider' 'are' 'counting' 'head'
 'into' 'go' 'sync' 'two' 'one' 'think' 'found' 'like' 'move' 'proceed'
 'see' 'said']"
three and a half feet,['proceed']
three cones,['saw']
three de three feet,['move']
three degrees,['turn' 'move']
three doorways,['explored' 'found' 'saw' 'were' 'are' 'is']
three feet,"['go' 'um' 'forward' 'travel' 'move' 'drive' 'walk' 'backup' 'continue'
 'proceed' 'rotate' 'back up' 'turn' 'reverse' 'moving' 'head west' 'can'
 'xxx' 'keep']"
three feet ahead,['keep' 'go' 'move']
three feet forward,['move' 'said']
three helmets,['were' 'like']
three hundred and eighty degrees,['rotate']
a three hundred and sixty degree perimeter,['doing']
a three hundred and sixty degree photo,['take']
a three hundred and sixty degree spin,['do']
a three hundred and sixty degree turn,['make' 'do']
three hundred and sixty degree turn,['continue']
three hundred and sixty degrees,['turn' 'pivot' 'doing' 'rotate' 'spin']
three hundred and sixty degrees in the room,['go']
three hundred and twenty degrees,['turn']
three hundred degrees,['pivot' 'move']
three meters,['move' 'go forward' 'go' 'forward' 'proceed' 'pull']
three more degrees,['to be']
three more feet,['go' 'move' 'continue']
three more steps forward,['move']
three or four more feet,['okay']
three positions,['go']
three shoes,['saw' 'hiding']
three shovels,['found' 'makes']
three sixty degrees,['around']
three steps,['move' 'continue' 'go']
three steps left,['go']
three two one,['sync' 'in']
through,['want' 'move' 'go' 'continue' 'find' 'proceed' 'walk' 'turn']
through that doorway,['move']
through that doorway on your left,['move']
through the door,['go']
through the doorway,['fit' 'go' 'see' 'get' 'continue' 'proceed']
through the hallway,['go']
through the room,['drive']
till,['walk' 'say' 'stop']
time,['is']
tired,['are']
to,['travel' 'turn' 'move' 'to']
to a wall,['move' 'get']
to coordinate operations in,['found' 'could be used']
to coordinate operations or activities,['think' 'use' 'is' 'do']
to do,['do' 'recommend']
to move forward,['begin']
to move things,['think' 'use']
to start,['am']
to stop,['say' 'will' 'tell']
to take,['move' 'take']
to that location,['go']
to the,['mean']
to the cone,['move']
to the doorway,['move']
to the left,['rotate' 'turn' 'look' 'move' 'pull' 'uh']
to the left again,['turn']
to the left five feet,['move']
to the left ten degrees,['turn']
to the next doorway,['turn' 'go']
to the north,['look']
to the northeast,['move' 'get']
to the northwest,['turn']
to the other end of the room,['move']
to the right,['move' 'turn' 'pull' nan 'travel' 'rotate' 'wanna' 'set']
to the right ninety degrees,['turn']
to the right six paces,['move']
to the right ten degrees,['turn']
to your left,['move' 'rotate' 'go']
to your northwest,['is']
to your right,['turn' 'see']
the top,['go']
tot,['walk' 'get']
total,['are']
towards,['turn']
towards north,['turn']
towards the east,['turn']
towards the right,['go']
towards the south,['turn']
track,['think' 'went' 'see' 'keep']
traffic cone,['is' 'move']
the traffic cone,['move']
traffic cones,['see']
training,['end']
the training round,['is']
the training session,['ends']
a trash can type of a container,['look' 'think']
travelers,['were']
traveling,['continue' 'hit']
the tree,['make' 'turn' 'take']
a tree,['was' 'see' 'mean' 'looks']
trial,"[""that's""]"
triangle,['move' 'forward']
a triangular shaped object,['is']
trip,['counted' 'thought']
a tube,['looks' 'has']
turn,"['doing' ""don't""]"
turning,['stop' 'see']
tv,"['coordinate' 'use' 'mounted' 'saw' 'um' 'yeah' 'were' 'indicate' 'travel'
 'see' nan]"
a tv,['is']
tv monitor,['is' 'looks']
the tv set,['take']
tw,['go']
twelve,['found' 'say' 'counted']
twelve degrees,['move']
twelve degrees left,['move']
twelve doorways,['say' 'saw' 'were']
twelve feet,['move' 'proceed']
twelve total doorways,['makes']
twenty,['uh' 'to your left']
twenty degree angle,['turn']
a twenty degree angle,['can' 'do']
twenty degree angles,['turn']
twenty degrees,['turn' 'shift' 'move' 'left' 'pivot' 'to' 'rotate' 'go' nan 'look' 'mean']
twenty degrees east,['pivot']
twenty degrees right,['move']
twenty feet,['move' 'go' 'continue' nan]
twenty feet north,['go']
twenty five degree,['move']
twenty five degree angle,['turn']
twenty five degrees,['move' 'could' 'turn' 'rotate']
twenty five degrees right,['turn']
twenty five feet,['move' 'turn']
twenty inches,['go' 'move' 'uh']
twenty more degrees,['turn']
twenty paces,['move']
twenty seven degrees,['move']
twenty steps,['move']
twenty two degrees,['turn' nan]
two,"['found' 'think' 'am' 'encountered' 'is' 'see' 'calculated' 'travel'
 'move' 'counting' 'saw' nan 'imagine' 'sync' 'two' 'one' 'counted'
 'proceed' 'inch' 'cut' 'go' 'okay' 'thought' 'met']"
two barrels,['were' 'saw' 'was' 'dumped' 'used']
the two black containers,['thought' 'used']
two buckets,['found']
two caution barrels,['to place' 'to have']
two cones,['found' 'think' 'saw' 'are' 'seen' 'might be able to use' 'were']
two doorways,"['were' 'noticed' 'found' 'said' 'saw' 'seen' 'might be able to use' 'are'
 'is']"
two drum things,['saw']
two feeet,['move']
two feet,"['move' 'go' nan 'back up' 'head' 'send' 'walk' 'travel' 'like' 'turn'
 'step' 'back' 'reverse' 'proceed' 'backup' 'forward' 'stop']"
two feet backwards,['move']
two feet forward,['move']
two feet inside,['stop']
two feet wide in circumference,['was']
two five meters,['point']
two hats,['were']
two hundred and twenty five degrees,['pivot']
two little dots,['see']
two meters,['pull' 'move' 'go' 'forward' 'turn' 'proceed']
two meters to the doorway on the right,['move']
two more,['move']
two more feet,['move' 'going' 'travel' 'make']
two of those,['were' 'looked']
two oil barrels,"[""there's""]"
two or three feet,['move' 'back up' 'can']
two p,['back up']
two pairs of shoes,['counted']
two shoes,['counted' 'be' 'found' 'saw']
two shovels,['came' 'saw' nan 'were' 'would be']
two signs,['travel' 'passing']
two spots,['move']
two steps,['move']
two two feet,['move']
type,['do' 'think' 'be' 'move']
a u turn,['make' 'turn' 'take']
a uh,['take' 'send']
uh,"['turn' 'move' 'was' 'see' ""could've"" 'go' 'okay' nan 'sorry' 'say' 'tell'
 'were']"
the uh,['can' 'let' 'go']
uh a a left,['move' 'make']
uh four,['counted' 'went' 'passed']
the uh northern wall,['were']
the uh object,['move']
uh west,['turn' 'move']
uhh,['rotate']
uhhh,['uhhh' 'move']
um,"['try' 'move' 'to go' 'saw' 'rotate' 'make' 'positioned' 'were' 'indicate'
 'turn' 'turn slightly']"
the um forward,['go' 'hit']
a um m,['make' 'turn']
um numbers,['recognized' 'were']
the um room,['move']
the un explored areas,['move']
underneath the overhead light,['continue']
underneath the table,['go' 'see']
unexplored area,['go']
unexplored room,['move']
the unknown area,['face']
the up,['holding']
up,['let' 'move' 'go' 'can' 'through' 'face']
up a hundred degrees to the left,['move']
up a little bit,['go']
up north,['move']
up to the left,['move']
up twenty feet,['move']
us,['led' 'believe']
used,['could' 'be' 'do' 'think' 'coordinate']
useful,['to be']
the vantage point,['tell' 'assuming' 'saw']
vcr,['was']
very interesting,['is']
a victory lap,['do']
video camera,['turn on']
view,['show' 'turning']
the view,['can' 'change']
viewing,['take']
a visual,['send' 'give' 'take' 'like' 'get']
visual,['give']
w,['face']
wall,"['stop' 'hug' 'back up' 'move' 'turn' 'facing' 'recognized' 'were'
 'navigate' 'take' 'hit' 'noticed' 'was' 'search' nan 'end' 'face']"
a wall,['hit' 'move' 'encounter' 'looking' 'is' 'go']
the wall,"['move' 'guess' 'close' 'encounter' 'go' 'hit' 'look' 'take' 'stop'
 'leaning' 'navigate' 'drive' 'going' 'proceed' 'continue' 'reach' 'are'
 'see' 'meet' 'get' 'do' 'back up' 'touch' 'face' 'is' 'follow' 'finishes'
 'facing' 'start' 'turn' 'travel']"
the wall of foreign language,['travel' 'hit']
the wall that's on your right,['go']
walls,['were' 'recognized']
water,['was' 'use' 'make' 'come up with' 'help' 'wrote' 'looked' nan 'uh']
water bottle,"['think' 'was' 'were' 'like' 'is' ""there's"" 'has been' 'indicates'
 'continue' 'moving forward' nan]"
a water bottle,['see']
the water bottle,['move']
water cooler bottle,['saw']
water jug,['go' 'were' 'like' 'turn']
the way you are facing,['take']
we,['believe' 'think' 'are' 'could' 'be' 'not']
we're,['could' 'be' 'not']
welcome,"[""you're""]"
well,['make' 'did']
the west,['turn' 'to move' 'look' 'go' nan]
west,"['move' 'go' 'proceed' 'face' 'head' 'turn' 'take' 'walk' 'travel' 'run'
 'drive' 'facing' 'continue' 'pivot' 'apologized' 'meant' 'hit' nan 'keep'
 'about' 'bout' 'uh' 'met']"
the west entrance,['go']
west fifteen feet,['move']
a west photo,['take']
the western opening,['move' 'go through']
wh,['believe']
what,"['did' 'find' 'see' 'understand' ""couldn't tell"" 'was looking at' 'list'
 'saw' 'is' 'let' 'know' 'be' 'was' 'go' 'take' 'show' 'like' 'can see'
 'send' 'think' 'do' 'call' 'guess' 'say' 'tell' 'recommend' 'are' 'look'
 'looking' 'okay' 'can']"
what color,['remember']
what doorways look like,['know']
what it says,['translate']
what looked like a computer,['was' 'looked' 'could' 'had']
what looked like arabic,['believe' 'saw' 'had']
what looks like a box,['found']
what that is,['know']
what that other sign was,['think' 'were' 'was' 'know']
what the object ahead is,['tell']
what you mean,['see']
what you see,['send' 'tell']
what you see there,['turn' 'send' 'see']
what you're seeing,['see']
what's,['translate' 'tell']
what's behind it,['can' 'tell']
what's behind you,['show']
what's directly behind you,['send']
what's in front of you,['take' 'move' 'see']
what's in the doorway,['take']
what's on the paper,['read' 'understand']
what's on your left,['send']
what's through that doorway,['am' 'interested in']
what's to your right,['show']
whatever,['saying' 'cutoff']
whatever you're comfortable saying,['say' 'try' 'do' 'exploring']
when to stop,['tell']
where,['go to' 'do' 'know' 'take' 'return' 'move' 'see' 'let' 'choose']
where we first started,['move']
where you are,['go']
where you started,['turn']
where you started from,['face']
white,[nan]
white and black object,['is']
a white big jug,['was' 'use' 'make' 'come up with' 'help']
white door,['is']
white noise,['calibrated' 'was']
white object,['move' 'stop' 'take' 'step']
the white paper,[nan]
white thing,['take']
whiteboard,[nan]
the whole area,['take']
the whole room,['take' 'go' 'get']
the whole thing,['counted' 'did not get']
the whole wall,['go' 'see' 'can']
the window,['move']
window cleaner,['were' 'like']
window openings,['see']
windows,['umm']
within half a foot,['get']
wood crate,[nan]
wooden,['like']
wooden block,['move' 'stop']
wooden crate,['move' 'is']
the wooden crate,['could' 'use']
wooden crates,['found']
wooden desk,[nan]
wooden thing,['be']
words,['tell' 'say' 'recognized' 'were']
the worksheet,['working']
the worksheets,['push' 'review']
workstation,['there was' 'there were']
the writing,['see' 'looks like']
writing,"['take' 'look' 'recognize' 'recognized' 'were' 'noticed' 'was' 'is'
 'is in']"
writings,['are written']
wrong,['think' 'be']
xxx,"['read' 'keep talking' 'thank' 'can' 'let' 'go' 'think' 'be able to' 'use'
 'like' 'is' 'am' 'going' 'okay' 'do' 'coordinate' 'was' 'could' 'hold'
 'review' 'move' 'were' 'be' 'know' ""don't"" nan]"
y,['ahead']
yaleyala,['did' 'know' 'means']
yea,['count']
yellow cone,['move' 'proceed' 'stop']
the yellow cone,['head' 'move']
a yellow cone,['is']
yellow cones,['see']
a yellow flashlight,['see']
yellow helmets,['see']
yellow safety cone,['was' 'looks']
yellow signs,['see' 'do']
yep,['hold']
yes,['ah' 'say' 'saw' 'was']
yo,['turn']
you,"['move' 'go' 'counts' 'turn' 'were' 'do' 'hit' 'tell' 'can' 'let' 'walk'
 'stop' ""don't"" 'turn around' 'go through' 'find' 'thank' 'want' 'see'
 'reach' 'not' nan 'know' 'call' 'head' 'appreciate' 'help' ""that's""
 'occupied' 'explain' 'am' 'be' 'get' 'thank you' 'think' 'went' 'keep'
 'confirm' 'is' 'passed' 'are' 'spoke' 'could' 'located' 'can see' 'did'
 'means' 'going' 'work' 'please' 'will' 'indicates' 'remind' 'face' 'ask'
 'would like' 'meet' 'back' 'teaming up' 'go ahead' 'gave' 'read'
 'forward' 'has been' 'gives' 'drive' 'need' 'start' 'continue' 'moving'
 'encounter' 'entered']"
you send me,['was']
you're right in between the doorway,['back up']
your,['understand' 'turn' 'move' 'thank' 'appreciate' 'help' 'doing']
your answers,['review' 'tell']
your best judgement,['use']
your camera,['turn on']
your feelings,['hurt']
your first doorway,['turn']
your front viewing,['take']
your last message,['meant']
your left,"['move' 'proceed' 'turn' 'keep moving' 'take' 'go' 'make' 'rotate' 'is'
 'look' ""there's"" 'believe' 'face' nan 'be' 'kay' 'send' 'see']"
your left front,['go']
your left sixty five degrees,['turn']
your left thirty degrees,['turn']
your left thirty five degrees,['turn']
your north,['look']
your northeast,['go' nan]
your original position,['turn']
your previous location,['go']
your previous position,['go']
your right,"['turn' 'move' 'could' 'go' 'is' 'look' 'stop' 'walk' 'reach' 'take'
 'rotate' 'give' 'veer' 'be' 'about' 'to go' 'see' 'is parallel']"
your right forty five degrees,['turn']
your right just ten degrees,['turn']
your right side,['take']
your right ten degrees,['rotate']
your right twenty five degrees,['turn']
your robot teammate,['tell']
your south,['go']
your starting position,['go' 'return']
your surroundings,['explore' 'send' 'show']
your turn,['take' 'complete']
your viewing,['take']
yourself,['align' 'line' 'be facing']
zero,['found' 'have' 'saw' 'put' nan]
a zero degree heading,['turn']
zero point five meters,['move']
zero point two five meters,['move']
zero point two meters,['move']
zero shoes,['have']
