direct_object,unique_verbs
the small bottle,['Pick up' 'put']
the small cube,['Place']
small4fbox,['pick up' 'put' 'open' 'close']
smallpear,['put' 'fry']
smalltomato,['put' 'in' 'or']
the soap,['Place' 'Move' 'keep']
space,['Move' 'Place' 'touching' 'sits']
space above pot,['Move']
space below wok,['Move']
space between cans,['Move']
the space between the metal bowl and the microwave,['Place']
spactula,['Move' 'put']
the spatual,['Place']
spatual,['move']
spatula,"['Put' 'Placing' 'put' 'Remove' 'place' 'take' 'Place' 'slide' 'Move'
 'Pick' 'move' 'touching' 'putting' 'keep' 'hold' 'Take' 'Pick up' 'Bring'
 'touches' 'put down' 'pick']"
the spatula,"['Place' 'Move' 'place' 'Put' 'put' 'hold' 'move' 'keep' 'Take' 'Hold'
 'Pick up' 'take' 'put it down' 'remove' 'mix' 'Turn' 'Pickup']"
sponge,['pick up' 'wipe']
the sponge,['Move' 'Place']
the spoon,"['Place' 'Move' 'sits' 'Pick up' 'place' 'pick' 'Put' 'put' 'replace'
 'Take' 'move' 'turn' 'to' 'pick up' 'Pick' 'reorient' 'laying' 'hold'
 'Set' 'rotate' 'set' 'drop' 'Pickup' 'can' 'put on' 'Grab' 'touching'
 'keep' 'Bring']"
spoon,"['Move' 'put' 'Place' 'rest' 'move' 'set' 'Put' 'Pick up' 'slide' 'place'
 'Take' 'drop' 'Twist' 'is' 'Remove' 'pointing' 'Pick' 'handle' 'rotate'
 'hanging' 'touching' 'positioned' 'Set' 'pick up' 'stop' 'take' 'pick'
 'hold' 'points' 'moved' 'sits' 'Play' 'touches' 'puts' 'pointed' 'placed'
 'Pickup' 'point' 'turn' 'head' 'Bring' 'laying' 'push']"
the spoon edge,['move']
spoon handle,['Pick' 'place']
spoon table,['Move']
the spoon with yellow handle,['Grab' 'Move' 'Place' 'place']
spotted animal,['move']
the square,['Put']
square,['Place']
squash,['Place' 'Move' 'Take' 'put' 'Put']
the squash,['Take' 'put' 'Put']
the stainless steel pan,['pick' 'put']
stainless steel pan,['Take' 'put']
the stainless steel pot,['pick' 'put' 'Take']
stainless steel pot,['Take' 'put' 'place' 'pick']
the steak knife,['Put']
the steel bowl,['Move' 'Place']
steel bowl,['pick up' 'put']
steel kadai,['moving']
steel pan,['Move' 'Hold' 'place' 'Place' 'hold']
the steel pan,['Move' 'hold' 'place' 'Place' 'Hold']
the steel pot,['hold' 'place' 'Move' 'Place']
steel pot,['Move']
the stem,['Move' 'place']
stem,['move' 'pointed' 'Put' 'stand']
stick,['Move']
stirring spoon,['Move']
the stirring spoon,['Move']
stock pot,['Move']
stockpot,['Place']
the stove,['Place' 'Put']
stove,['put' 'Move' 'move' 'Pick' 'fix' 'Place' 'on' 'in' 'turn' 'head' 'place']
stove burner,['Move']
stove knobs,['slide' 'Move' 'touches']
stove top,['Place']
stovetop,['Move' 'Put' 'Take' 'place']
strawberry,"['put' 'Move' 'place' 'Place' 'Put' 'pick' 'touch' 'Take' 'take' 'slide'
 'Pick up' 'move' 'hold' 'Set' 'pick up']"
the strawberry,['Pick up' 'put' 'Put' 'Move' 'Place' 'move' 'place']
stuffed animal,['Place' 'move' 'Move' 'pick up' 'place' 'remove']
the stuffed animal,['Put' 'Place' 'Move']
stuffed dog,['Put']
stuffed mushroom,['Move']
the stuffed toy,['Place']
stuffedcheeta,['put']
stuffedduck,['put']
stuffedelephant,['put']
stuffedhippo,['reaching']
stuffedlion,['put']
stuffedpig,['put']
stuffedrabbit,['reaching']
the sub roll,['Put']
the surface,['Spoon' 'smooth']
the sushi,['Put' 'Place' 'slide' 'Move' 'Pick up' 'put' 'place' 'Take' 'move']
sushi,"['take' 'put' 'Place' 'Move' 'Put' 'move' 'place' 'Take' 'touches' 'slide'
 'Pick up' 'Moves']"
sushi role,['Move']
the sushi roll,['Put' 'Move' 'put' 'Place']
sushi roll,['Move' 'Pick up' 'place' 'Put' 'Place' 'standing' 'put']
the sushi roll shape,['Put']
sushi rool,['Move']
sweet potato,['put']
the sweet potato,['Put' 'Move' 'place']
sweetpotato,['put']
table,"['Move' 'Place' 'pointing' 'moved' 'move' 'place' 'Put' 'clean' 'Moved'
 'put' 'Take' 'Pickup' 'slide' 'sits' 'Pick up' 'Bring' 'positioned'
 'fits' 'Play']"
the table,"['Place' 'Move' 'take' 'put' 'Pick up' 'move' 'Pick' 'Mpve' 'place' 'Put'
 'pick']"
table behind the spoon,['moving']
table cloth,['Move']
the table cloth,['Move' 'pick']
table corner,['Place']
table edge,['Place']
table handle,['Move']
table spoon,['Move']
table's bottom edge,['Put']
the table's bottom edge,['Move']
table's edge,['Move' 'lift' 'move' 'pick up' 'place' 'Pick up']
the table's left lower corner,['Put']
table's lower left corner,['Move']
tea pan,['Move' 'Hold' 'place']
the tea pan,['hold' 'place']
the teal brush,['Move']
the teal utensil,['Move']
the,['pick' 'place' 'put']
them,['Pick up' 'put' 'Take']
there,['Grab' 'Move' 'Place']
this spoon,['Pick up' 'place']
the tiffin box,['hold' 'place' 'Move' 'move' 'Hold']
tiffin box,['Move' 'place' 'hold' 'move']
the tin,['move' 'bring']
tin,['Place']
the tin box,['Move' 'move']
the tin can,['place' 'Move']
the tin cans,['Place']
tin cans,['Place' 'Move']
to the left,['Pick up' 'place' 'move']
to the left of the cloth,['Move' 'Put']
to the left side of the table,['Move']
to the right,['Lift' 'move']
to the right below cans,['Move' 'place']
to the right of pot,['Move' 'place']
to the right of the blue cloth,['Place']
to the right of the pot,['Put']
to the right of the silver pot,['Set']
to the right of the spoon,['put']
to the right side of the pot,['Move' 'place']
tomato,['Move' 'put' 'Place' 'Put' 'place' 'move' 'Pick up' 'Remove']
the tomato,"['Place' 'take' 'keep' 'move' 'Put' 'Pick up' 'place' 'grab' 'put' 'Move'
 'picklup']"
tomato sauce,['Pick up' 'place']
the tomato sauce,['Move' 'place']
top,['Spoon' 'smoothing' 'slide' 'move' 'Move']
the top,['Move' 'move']
top edge,['Place']
the top left,['Grab' 'Move']
top left,['Move' 'place']
the top left corner of the stovetop,['Place']
the top left corner of the table,['Move']
the top left of the stove top,['Move']
top left of the table,['Move' 'place']
top left under microwave,['Move' 'place']
top middle of table,['Move']
the top middle of the stove,['Put']
top of knife,['slide']
top of table,['Move']
the top of the fork,['Put']
the top of the hot sauce,['Put']
the top of the spoon,['Put']
the top part,['Put']
the top point of the banana,['Move']
top right corner,['Move']
the top right corner of the table,['Move']
torch,['Place']
towards the right,['Pick up' 'move']
the towel,"['Move' 'Pick up' 'put' 'Place' 'move' 'pick up' 'Put' 'slide' 'push'
 'drop' 'place' 'touch' 'stay' 'remove' 'stop' 'Push' 'touching' 'Pick'
 'up' 'pace']"
towel,"['slide' 'Place' 'Move' 'move' 'place' 'Put' 'pick up' 'take' 'Remove'
 'put' 'Pick' 'drop' 'shove' 'Pick up' 'Slide' 'moved' 'Take' 'keep']"
towel and broccoli,['Move' 'place']
the towels,['put']
the toy,['move' 'Place' 'Put' 'Grab' 'Move' 'put' 'remove' 'keep']
toy,['pick' 'Move' 'move' 'Place' 'keep']
the toy bear,['put']
toy hammer,['place' 'is left']
tray,['put']
turkey leg,['Put']
turquoise scrub brush,['Place']
the two cans,['Move' 'place']
two cans,['Move' 'drop' 'place']
the under left of microwave,['Move' 'place']
the under the knife on the right side,['Move']
under the microwave,['put']
up,['Move' 'pointed' 'Place' 'positioned']
up and down,['Move' 'pointed']
upper cooktop,['move']
the upper left corner,['Move']
upper left corner,['move' 'Move']
upper left corner of table,['Move']
upper left corner of the table,['Move']
the upper left corner of the table,['Move']
upper left hand corner,['Move']
the upper metal bowl,['move']
upper middle of table,['move']
the upper portion of the stove burner on the right,['Place']
upper right,['move']
upper right corner,['move']
upper right corner of counter,['Move']
upper right corner of table,['Move' 'remove' 'place']
the upper right corner of the table,['Move']
upper right edge,['slide']
the upper right hand corner,['Put']
the utensil,['Move' 'place' 'Put' 'Take' 'Lift' 'move']
utensil,['Place' 'Move' 'place' 'put' 'Pick up']
utensils,['move' 'Moved']
the vegetable,"['Place' 'Put' 'Take' 'place' 'take' 'Move' 'Pick' 'put' 'remove' 'move'
 'keep']"
vegetable,['Place' 'Move' 'move' 'put' 'Put']
the vegetable pieces,['Move']
vegetables,['Take' 'place']
vertical,['twist' 'start']
vessal,['pick' 'put']
vessel,"['Pick' 'place' 'move' 'pick' 'keep' 'Place' 'Move' 'put' 'Put' 'Take'
 'pull' 'take']"
the vessel,"['Place' 'Move' 'put' 'place' 'pick' 'take' 'Pick up' 'bring' 'Take'
 'move' 'Bring']"
the vessel with handle,['Move' 'place']
video frame,['showing']
video frames,['show' 'showing']
violet,['pick up' 'move']
the violet cloth,['Move' 'Place' 'Bring' 'place' 'move']
violet cloth,['Place' 'move']
the violet towel,['pick up' 'put' 'picklup']
violet toy,['Put']
the violet toy,['Move']
wall,['Move' 'put']
the wall,['Move' 'is sitting' 'is facing' 'slide' 'touches' 'Slide']
the washcloth,['Remove' 'place']
the wedge of cheese,['Move']
the wedge of food,['Place']
where it is,['Put']
white,['Move' 'move']
the white and black object,['move' 'put']
the white and black vegetable,['Place']
the white and brown item,['Move' 'Take' 'place']
the white and brown vegetable,['Place']
white and red food,['Place']
the white and red object,['Grab' 'Move' 'Place']
the white and red vegetable,['Move']
the white and yellow vegetable,['Move']
white block,['Move']
the white box,['move']
white box,['Move']
white cheese,['Move']
white donut,['pick up']
the white donut,['Place']
the white egg,['Pick up' 'place']
the white food,['move']
white fruit,['pick up' 'place']
white item,['Pick up' 'place' 'Move']
the white item,['pick up' 'place' 'Pick up' 'Pick' 'Place' 'move' 'Move']
the white measuring spoon,['Place']
the white mushroom,['Put']
the white object,['place' 'Move' 'put' 'Place' 'Put' 'drop']
white object,['Put' 'Move' 'place' 'Pick up' 'put' 'pick up' 'Place']
white piece,['move']
the white round vegetable,['Move']
the white semicircle shape,['Put']
the white spool,['Place']
white toy,['move']
the white toys,['move']
white utensil,['Pick up' 'place' 'slide']
the white utensil,['Pick up' 'move' 'place']
white vegetable,['Place']
the white vegetable,['Place']
the white wedge,['Take' 'put']
white1fbox,['open' 'close']
the wing,['Put']
wok,['Move' 'Place' 'Put']
the wok,['Take' 'put' 'Move' 'Put' 'Place' 'slide' 'Pick up' 'place' 'move']
the wood color item,['Move' 'place']
the wood spoon,['Move']
the wooden brush,['Pick up' 'move']
wooden table,['Pick' 'put aside' 'pick up']
yellow,['move']
the yellow and green item,['Place']
the yellow and green object,['Move']
the yellow and green turtle,['Put']
the yellow and white knife,['move']
the yellow and white object,['Move' 'place']
yellow ball,['put' 'pick' 'keep' 'place' 'move']
the yellow banana,['Put' 'Place' 'Take' 'put' 'Move']
yellow banana,['move' 'Place']
yellow bell pepper,['Move']
the yellow bell pepper,['Put' 'Place' 'Pick up' 'place' 'Take']
the yellow block,['Place' 'Move']
yellow bottle,['Pick up' 'move' 'Move']
the yellow bottle,['Place' 'Move' 'Pick up' 'place']
yellow box,['move']
the yellow brush,['Place' 'Move' 'Pick up' 'place' 'Put' 'put' 'slide' 'move']
yellow brush,['Move' 'slide' 'Place' 'move' 'pick' 'put' 'place' 'Put']
the yellow can,['Move']
the yellow capcisum,['Hold' 'place']
the yellow capsicum,['Move' 'hold' 'place' 'pick' 'put' 'pick up' 'Take']
yellow cheese,['Move']
the yellow chicken,['Move']
the yellow cloth,"['Place' 'Move' 'Put' 'slide' 'put' 'Pick' 'Pick up' 'place' 'Picks'
 'keeps' 'pick up' 'pick' 'move' 'placed' 'Bring' 'Move straight down'
 'touch' 'moving' 'keep' 'drag']"
yellow cloth,"['Move' 'place' 'pointing' 'Put' 'moved' 'Place' 'put' 'move' 'hold'
 'slide' 'touching' 'Pick up' 'pick' 'remove' 'Bring' 'Slide' 'Set'
 'above' 'pick up' 'move back' 'keep']"
the yellow colth,['move']
the yellow cone,['Pick up' 'place']
the yellow container,['Move']
the yellow corn,['Place' 'put' 'Move']
yellow corn,['Pick up' 'move' 'Place']
the yellow corn cob,['Put']
the yellow cube,['Move' 'Place']
the yellow cup,['Move']
the yellow cutting board,['Place']
the yellow cylindrical object,['Grab' 'move']
the yellow dish towel,['Move']
the yellow fabric,['Place']
the yellow flower,['Pick up' 'place']
yellow foam,['move' 'moved']
the yellow food,['Move']
yellow food,['moving']
yellow food item,['Move']
the yellow food item,['Put']
the yellow fork,['move']
the yellow fruit,['Pick' 'put' 'place' 'Move' 'Place' 'picked up' 'moved' 'pick' 'pace']
the yellow handle knife,['Take' 'put']
the yellow ice cream scoop,['Move' 'Turn' 'laying']
yellow ice cream scoop,['Move' 'touches']
yellow item,['Pick' 'put' 'Move']
the yellow item,['Put' 'Bring' 'pick' 'put' 'Place']
yellow knife,['Move' 'pick up' 'move' 'Put' 'Place' 'Pick up' 'put' 'place' 'slide']
the yellow knife,"['Move' 'touches' 'Put' 'Pick up' 'place' 'Place' 'Balance' 'rotate' 'put'
 'Take']"
yellow label,['Move']
the yellow lemon,['Place']
yellow napkin,['slide' 'place' 'Move']
the yellow napkin,['Move' 'move' 'M9ve' 'Put' 'place' 'Puts' 'Place']
the yellow object,['Move' 'Place' 'Put' 'Pick up' 'move' 'place' 'Remove' 'put' 'Take']
yellow object,['Put' 'Place' 'Move' 'put']
the yellow pad,['Move']
yellow paper,['Place']
the yellow pepper,['Move' 'Take' 'place' 'Pick up' 'put' 'pick up' 'Place' 'move' 'Put']
yellow pepper,['Move' 'put' 'Place' 'Put' 'move']
yellow piece of cloth,['Place']
the yellow piece of cloth,['Move']
the yellow pot,['Move']
the yellow potato,['Place']
yellow potato,['move']
the yellow product,['Place']
the yellow rag,"['Move' 'slide' 'Put' 'Change' 'pointed' 'Place' 'touches' 'Slide'
 'Pick up' 'hold']"
yellow rag,['Put' 'Place' 'slide' 'Move']
yellow rectangle,['Move']
the yellow rectangle,['Bring' 'Move']
yellow rectangular cloth,['Place']
the yellow school,['Move']
yellow scoop,['Pick up' 'move' 'pick up']
yellow scrubber,['Put']
the yellow scrubber,['Move']
the yellow shaker,['Place']
the yellow sigma butter dish,['Place']
the yellow sponge,['Pick up' 'put' 'Put' 'Move' 'place']
the yellow spoon,"['Pick up' 'put' 'Move' 'Place' 'place' 'Bring' 'Put' 'slide' 'move'
 'Turn' 'be']"
yellow spoon,['Move' 'touch' 'Put' 'slide' 'keep']
the yellow square,['grabbed' 'moved' 'picked up' 'Move']
the yellow squash,['Put']
the yellow stick,['Place' 'Pick up' 'place']
the yellow table cloth,['Move']
yellow table cloth,['Move']
the yellow thing,['Place']
yellow towel,['Place' 'Move' 'move' 'Pick up' 'place' 'slide' 'drop' 'Put' 'push']
the yellow towel,"['Move' 'Place' 'place' 'pick' 'put' 'Pick' 'picking up' 'placing' 'pace'
 'is' 'Put' 'slide']"
yellow toy,['pick' 'place']
the yellow toy,['Take' 'place' 'Moves' 'Place']
the yellow tube,['Place']
the yellow tubular item,['Place']
yellow utensil,['Move']
the yellow utensil,['Pick up' 'move' 'Place']
the yellow utensils,['Put']
yellow vegetable,['Place' 'move']
a yellow vegetable,['Move' 'Place']
the yellow vegetable,['Move' 'Place' 'move']
yellow washcloth,['Place']
the yellow wing,['Move' 'put']
the yellow with green checked box,['move']
yellow-handled knife,['Move']
the yellow-handled knife,['Move']
yellowpepper,['put']
zipper,['unzip' 'zip']
